roll,Essence_Metal Armor,Essence_Leather Armor,Essence_Other,Channeling_Metal Armor,Channeling_Metal Shield,Channeling_Other,Mentalism_Metal Helmet,Mentalism_Leather Helmet,Mentalism_Other
2,F,F,F,F,F,F,F,F,F
4,F,F,F,F,F,F,F,F,F
8,F,F,70,F,F,70,F,F,70
12,F,F,65,F,F,65,F,F,65
16,F,45,60,F,F,60,F,45,60
20,45,40,50,F,45,50,F,40,50
24,40,35,45,F,40,45,F,35,45
28,35,30,35,45,35,35,45,30,35
32,30,25,30,40,30,30,40,25,30
36,25,20,30,35,25,30,35,20,30
40,20,15,15,30,20,15,30,15,15
44,15,10,5,25,15,5,25,10,5
48,10,5,0,20,10,0,20,5,0
52,5,0,0,15,5,0,15,0,0
56,0,0,-5,10,0,-5,10,0,-5
60,0,-5,-10,5,0,-10,5,-5,-10
64,-5,-5,-15,0,-5,-15,0,-5,-15
68,-5,-10,-20,0,-5,-20,0,-10,-20
72,-10,-15,-25,-5,-10,-25,-5,-15,-25
76,-25,-20,-30,-10,-25,-30,-10,-20,-30
80,-30,-25,-35,-15,-30,-35,-15,-25,-35
84,-35,-30,-40,-20,-35,-40,-20,-30,-40
88,-40,-35,-45,-25,-40,-45,-25,-35,-45
92,-45,-40,-50,-30,-45,-50,-30,-40,-50
95,-50,-45,-55,-35,-50,-55,-35,-45,-55
97,-60,-65,-75,-55,-60,-75,-55,-65,-75
99,-85,-90,-100,-80,-85,-100,-80,-90,-100
100,-110,-115,-125,-105,-110,-125,-105,-115,-125
